run_id,run_kind,source,source_record_id,source_column,raw_event_type,raw_timestamp,clock_domain,normalized_timestamp,gpu_uuid,pid,profiler_context_id,associated_role,rm_group,hardware_tsg_id,association_method,interpretation,uncertainty
D1,diagnostic,CUPTI_ACTIVITY_KIND_RUNTIME,382070,start,cudaLaunchKernel_v7000_begin,1540139373,nsys_session_ns,1540139373,99e4e85f1945866c9e00130b51df7908,2393380,,BG,,,,host CUDA API call in submission annotation,
D1,diagnostic,CUPTI_ACTIVITY_KIND_RUNTIME,382071,start,cudaLaunchKernel_v7000_begin,1540198836,nsys_session_ns,1540198836,99e4e85f1945866c9e00130b51df7908,2393380,,BG,,,,host CUDA API call in submission annotation,
D1,diagnostic,CUPTI_ACTIVITY_KIND_RUNTIME,382072,start,cudaEventRecord_v3020_begin,1540210789,nsys_session_ns,1540210789,99e4e85f1945866c9e00130b51df7908,2393380,,BG,,,,host CUDA API call in submission annotation,
D1,diagnostic,CUPTI_ACTIVITY_KIND_RUNTIME,382073,start,cudaLaunchKernel_v7000_begin,1543377274,nsys_session_ns,1543377274,99e4e85f1945866c9e00130b51df7908,2393301,,INT,,,,host CUDA API call in submission annotation,
D1,diagnostic,CUPTI_ACTIVITY_KIND_RUNTIME,382074,start,cudaLaunchKernel_v7000_begin,1543400493,nsys_session_ns,1543400493,99e4e85f1945866c9e00130b51df7908,2393301,,INT,,,,host CUDA API call in submission annotation,
D1,diagnostic,CUPTI_ACTIVITY_KIND_RUNTIME,382075,start,cudaEventRecord_v3020_begin,1543407437,nsys_session_ns,1543407437,99e4e85f1945866c9e00130b51df7908,2393301,,INT,,,,host CUDA API call in submission annotation,
D1,diagnostic,NVTX_EVENTS,1,start,AP/phase7/D1/BG/2393380/0/owner_init_begin,145439532,nsys_session_ns,145439532,99e4e85f1945866c9e00130b51df7908,2393380,,BG,,,,host annotation; PREEMPT envelope is not pure hardware time,
D1,diagnostic,NVTX_EVENTS,2,start,AP/phase7/D1/INT/2393301/0/owner_init_begin,988879259,nsys_session_ns,988879259,99e4e85f1945866c9e00130b51df7908,2393301,,INT,,,,host annotation; PREEMPT envelope is not pure hardware time,
D1,diagnostic,NVTX_EVENTS,3,start,AP/phase7/D1/INT/2393301/0/trial_begin,1540015914,nsys_session_ns,1540015914,99e4e85f1945866c9e00130b51df7908,2393301,,INT,,,,host annotation; PREEMPT envelope is not pure hardware time,
D1,diagnostic,NVTX_EVENTS,3,end,AP/phase7/D1/INT/2393301/0/trial_end,1608485715,nsys_session_ns,1608485715,99e4e85f1945866c9e00130b51df7908,2393301,,INT,,,,,
D1,diagnostic,NVTX_EVENTS,4,start,AP/phase7/D1/BG/2393380/0/bg_submit_begin,1540108982,nsys_session_ns,1540108982,99e4e85f1945866c9e00130b51df7908,2393380,,BG,,,,host annotation; PREEMPT envelope is not pure hardware time,
D1,diagnostic,NVTX_EVENTS,4,end,AP/phase7/D1/BG/2393380/0/bg_submit_end,1540219845,nsys_session_ns,1540219845,99e4e85f1945866c9e00130b51df7908,2393380,,BG,,,,,
D1,diagnostic,NVTX_EVENTS,5,start,AP/phase7/D1/INT/2393301/0/interaction_begin,1543368432,nsys_session_ns,1543368432,99e4e85f1945866c9e00130b51df7908,2393301,,INT,,,,host annotation; PREEMPT envelope is not pure hardware time,
D1,diagnostic,NVTX_EVENTS,6,start,AP/phase7/D1/INT/2393301/0/int_submit_begin,1543371452,nsys_session_ns,1543371452,99e4e85f1945866c9e00130b51df7908,2393301,,INT,,,,host annotation; PREEMPT envelope is not pure hardware time,
D1,diagnostic,NVTX_EVENTS,6,end,AP/phase7/D1/INT/2393301/0/int_submit_end,1543415321,nsys_session_ns,1543415321,99e4e85f1945866c9e00130b51df7908,2393301,,INT,,,,,
D1,diagnostic,NVTX_EVENTS,7,start,AP/phase7/D1/BG/2393380/2/owner_prepare_and_action_begin,1543433028,nsys_session_ns,1543433028,99e4e85f1945866c9e00130b51df7908,2393380,,BG,,,,host annotation; PREEMPT envelope is not pure hardware time,
D1,diagnostic,NVTX_EVENTS,7,end,AP/phase7/D1/BG/2393380/2/owner_prepare_and_action_end,1543965668,nsys_session_ns,1543965668,99e4e85f1945866c9e00130b51df7908,2393380,,BG,,,,,
D1,diagnostic,NVTX_EVENTS,8,start,AP/phase7/D1/BG/2393380/3/preempt_ioctl_envelope_begin,1543460894,nsys_session_ns,1543460894,99e4e85f1945866c9e00130b51df7908,2393380,,BG,,,,host annotation; PREEMPT envelope is not pure hardware time,
D1,diagnostic,NVTX_EVENTS,8,end,AP/phase7/D1/BG/2393380/3/preempt_ioctl_envelope_end,1543965311,nsys_session_ns,1543965311,99e4e85f1945866c9e00130b51df7908,2393380,,BG,,,,,
